Snow Goose,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,1,4,0,0,0,3
Greater White-fronted Goose,37,1,97,25,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brant,55,34,22,48,22,31,32,44,56,37,32,58,22,32,50,46,50,57,35,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,31,24,40,17,12,39,22,37,25,43
Cackling Goose,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Canada Goose,258,163,240,235,193,195,167,169,203,289,186,350,332,317,358,532,579,558,424,311,106,106,59,82,47,53,79,123,83,72,112,166,157,205,150,242,186,211,230,211,165,145,100,209,134,138,120,203
Cackling/Canada Goose,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
Branta sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
goose sp.,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,2,0,0,0,3,0,0,1,1
Mute Swan,0,0,0,8,9,42,49,2,2,0,2,1,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
swan sp.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood Duck,7,14,11,15,35,17,23,30,19,38,7,35,14,12,14,11,17,5,3,15,21,13,7,10,16,6,7,10,15,4,6,9,6,6,4,5,1,17,26,58,37,14,11,19,11,6,9,17
Blue-winged Teal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,15,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Shoveler,118,69,78,78,88,85,67,93,110,129,58,78,103,59,72,56,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,5,4,39,25,26,71,112,122,126,97,82,78,68,65,132
Gadwall,64,31,19,36,28,31,36,55,46,34,23,51,34,67,88,85,81,94,46,47,33,20,12,14,7,6,4,18,6,4,14,26,9,34,41,60,58,65,94,98,69,75,23,30,28,30,22,47
American Wigeon,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
