Date,Close/Last,Volume,Open,High,Low
03/12/2025,$227.90,16054020,$234.00,$234.32,$227.26
03/11/2025,$229.14,18143000,$231.745,$233.32,$226.69
03/10/2025,$232.22,18887190,$236.21,$237.51,$228.695
03/07/2025,$242.28,20498730,$245.23,$246.72,$239.42
03/06/2025,$246.54,9983235,$248.11,$249.36,$243.85
03/05/2025,$251.53,7861424,$251.25,$253.05,$247.83
03/04/2025,$250.25,13465630,$255.28,$257.23,$245.95
03/03/2025,$260.62,9058307,$264.00,$266.32,$257.82
02/28/2025,$264.65,10467130,$260.73,$264.81,$257.89
02/27/2025,$259.05,8204447,$260.18,$263.64,$257.86
02/26/2025,$258.79,5943585,$257.16,$260.9115,$256.93
02/25/2025,$257.40,9608439,$262.23,$263.00,$253.35
02/24/2025,$261.34,10372750,$265.49,$267.00,$258.61
02/21/2025,$264.24,12835570,$268.32,$269.1955,$262.84
02/20/2025,$266.80,13846670,$278.675,$278.74,$265.735
02/19/2025,$279.25,7007248,$278.38,$280.25,$277.22
02/18/2025,$279.95,7919798,$276.76,$279.97,$276.02
02/14/2025,$276.59,5688627,$277.37,$279.2334,$276.45
02/13/2025,$276.32,8398667,$275.50,$276.97,$273.81
02/12/2025,$275.45,6683894,$274.08,$276.45,$273.25
02/11/2025,$274.99,7196376,$270.26,$276.22,$269.66
02/10/2025,$271.04,8627352,$276.15,$276.18,$269.59
02/07/2025,$275.80,6857875,$277.27,$278.55,$274.715
02/06/2025,$276.90,7264371,$272.45,$276.98,$271.19
02/05/2025,$270.43,5704431,$268.91,$270.64,$268.33
02/04/2025,$267.94,5625972,$269.84,$269.84,$266.83
02/03/2025,$266.81,8381361,$261.83,$268.165,$261.7009
01/31/2025,$267.30,7196268,$269.23,$270.82,$266.96
01/30/2025,$268.23,8753466,$268.63,$269.70,$266.6201
01/29/2025,$266.58,7684870,$267.21,$270.68,$265.61
01/28/2025,$267.14,7375391,$265.85,$267.33,$264.8301
01/27/2025,$265.85,7522258,$264.17,$265.97,$262.26
01/24/2025,$264.84,7666261,$263.69,$267.10,$263.01
01/23/2025,$265.95,10749680,$264.69,$266.8599,$263.81
01/22/2025,$262.84,9021914,$262.90,$263.38,$260.25
01/21/2025,$263.03,13712110,$260.07,$264.25,$259.5037
01/17/2025,$259.16,17678100,$254.14,$260.62,$252.14
01/16/2025,$254.27,15292350,$254.00,$257.035,$252.33
01/15/2025,$252.35,18448520,$250.40,$253.6699,$243.68
01/14/2025,$247.47,12407390,$242.66,$247.72,$242.19
01/13/2025,$244.21,10005320,$239.67,$244.54,$239.00
01/10/2025,$239.87,10256830,$243.09,$243.81,$238.74
01/08/2025,$243.13,8675284,$242.75,$244.25,$240.50
01/07/2025,$243.17,8753357,$242.14,$245.26,$240.90
01/06/2025,$240.85,9917836,$243.695,$245.69,$240.58
01/03/2025,$243.28,9491053,$243.89,$244.88,$240.26
01/02/2025,$240.00,9220914,$240.92,$243.276,$239.45
12/31/2024,$239.71,4870971,$240.05,$241.4393,$239.03
12/30/2024,$239.32,5723765,$238.77,$240.84,$237.11
12/27/2024,$241.17,5730607,$242.72,$243.39,$240.04
12/26/2024,$243.14,4452168,$241.43,$243.26,$240.79
12/24/2024,$242.31,3729092,$239.43,$242.4922,$239.07
12/23/2024,$238.39,8611528,$236.07,$238.62,$234.88
12/20/2024,$237.60,32348410,$231.92,$239.21,$231.5877
12/19/2024,$232.96,11790770,$232.27,$236.36,$232.27
12/18/2024,$230.37,11322360,$239.00,$239.07,$229.53
12/17/2024,$238.36,8083635,$238.65,$239.02,$236.63
12/16/2024,$239.58,9032044,$240.61,$240.67,$237.52
12/13/2024,$239.94,10392750,$242.07,$242.715,$239.1437
12/12/2024,$241.53,6113771,$243.00,$244.10,$241.04
12/11/2024,$243.53,7884442,$244.00,$244.27,$242.18
12/10/2024,$242.86,9108339,$243.89,$247.96,$242.22
12/09/2024,$243.81,7076466,$247.13,$247.8699,$243.76
12/06/2024,$247.36,5519738,$245.70,$247.74,$244.84
12/05/2024,$245.48,6572536,$245.39,$247.18,$244.62
12/04/2024,$243.40,7346265,$244.70,$245.345,$242.23
12/03/2024,$244.82,6657694,$248.23,$249.04,$244.63
12/02/2024,$246.25,8899741,$249.55,$250.25,$245.03
11/29/2024,$249.72,5494825,$249.86,$251.77,$249.445
11/27/2024,$249.79,5472265,$249.35,$251.19,$248.771
11/26/2024,$249.97,6212142,$250.49,$251.00,$248.34
11/25/2024,$250.29,10295350,$249.59,$254.31,$249.06
11/22/2024,$248.55,7997307,$243.61,$249.15,$243.0347
11/21/2024,$244.76,8783516,$243.23,$245.49,$242.105
11/20/2024,$240.78,9015290,$244.40,$244.61,$238.64
11/19/2024,$243.09,6792660,$242.25,$245.1509,$241.55
11/18/2024,$245.03,9052575,$247.76,$247.93,$242.68
11/15/2024,$245.31,11518840,$241.46,$246.42,$241.46
11/14/2024,$241.87,10172200,$242.415,$244.29,$241.05
11/13/2024,$241.16,11472560,$240.58,$244.09,$240.31
