Date,Close/Last,Volume,Open,High,Low
03/12/2025,$821.86,3014828,$814.95,$834.65,$813.26
03/11/2025,$824.06,3796512,$827.20,$832.35,$811.64
03/10/2025,$829.76,5962920,$853.91,$863.19,$825.78
03/07/2025,$869.58,4818093,$905.39,$908.00,$861.39
03/06/2025,$912.76,3273078,$920.42,$931.38,$898.28
03/05/2025,$929.72,3109456,$904.80,$930.49,$901.64
03/04/2025,$911.06,3343495,$922.235,$929.16,$902.7901
03/03/2025,$929.72,3979760,$912.80,$935.625,$910.00
02/28/2025,$920.63,4071129,$901.84,$921.22,$892.6129
02/27/2025,$905.16,3085359,$915.72,$925.50,$904.06
02/26/2025,$915.01,3032835,$898.365,$922.4299,$896.60
02/25/2025,$901.80,5111285,$890.74,$911.9999,$890.74
02/24/2025,$881.40,3017053,$879.29,$893.11,$870.0175
02/21/2025,$873.68,3940432,$880.62,$894.40,$873.43
02/20/2025,$873.12,2990281,$866.84,$880.32,$864.00
02/19/2025,$867.05,3205482,$857.175,$881.3268,$857.175
02/18/2025,$857.20,4289381,$856.42,$862.73,$851.36
02/14/2025,$844.27,3222324,$869.10,$873.4999,$841.49
02/13/2025,$871.86,2472948,$877.07,$883.4999,$867.80
02/12/2025,$872.97,2533391,$856.93,$877.78,$856.11
02/11/2025,$865.00,1944467,$867.03,$874.19,$860.50
02/10/2025,$868.88,3065624,$877.725,$880.00,$859.37
02/07/2025,$878.31,4426107,$876.53,$889.36,$869.6186
02/06/2025,$870.37,7138547,$839.52,$887.7368,$835.61
02/05/2025,$842.18,4578885,$835.15,$846.90,$831.0558
02/04/2025,$826.07,4299729,$811.05,$829.04,$805.935
02/03/2025,$810.43,2808849,$804.27,$817.96,$801.75
01/31/2025,$811.08,2562617,$823.00,$827.35,$811.03
01/30/2025,$823.23,2642984,$808.41,$824.62,$805.00
01/29/2025,$804.08,1827645,$806.99,$809.1199,$799.00
01/28/2025,$804.99,2808766,$807.24,$816.15,$800.11
01/27/2025,$808.17,3915247,$778.71,$809.25,$778.71
01/24/2025,$785.41,4170616,$761.95,$789.29,$760.49
01/23/2025,$766.60,3127173,$747.66,$766.60,$744.25
01/22/2025,$753.98,3737751,$745.575,$760.37,$739.05
01/21/2025,$742.35,5122833,$731.27,$743.28,$726.53
01/17/2025,$725.72,5560101,$747.83,$755.2799,$725.01
01/16/2025,$757.60,3070254,$747.50,$765.51,$746.40
01/15/2025,$746.74,5736908,$749.00,$754.60,$735.265
01/14/2025,$744.91,10372980,$784.225,$784.225,$729.00
01/13/2025,$797.48,3683849,$794.40,$805.34,$783.61
01/10/2025,$799.90,3973129,$791.93,$800.00,$784.86
01/08/2025,$787.22,3478440,$773.83,$792.56,$770.665
01/07/2025,$773.29,3576092,$764.90,$783.96,$761.6202
01/06/2025,$765.10,3991077,$783.715,$784.765,$763.35
01/03/2025,$781.98,1799992,$778.17,$785.84,$775.53
01/02/2025,$778.07,1941191,$780.59,$787.00,$771.77
12/31/2024,$772.00,2327004,$771.00,$773.91,$764.30
12/30/2024,$773.84,1719073,$777.915,$779.76,$771.00
12/27/2024,$783.17,2096535,$790.00,$793.295,$779.22
12/26/2024,$794.14,1274993,$794.12,$803.9099,$791.50
12/24/2024,$795.67,1165383,$791.37,$797.75,$787.10
12/23/2024,$796.28,3622297,$785.17,$799.36,$773.07
12/20/2024,$767.76,9942293,$811.35,$811.35,$766.61
12/19/2024,$757.54,4036350,$765.10,$772.97,$752.395
12/18/2024,$764.71,3354209,$775.00,$779.00,$762.50
12/17/2024,$778.62,3924764,$777.86,$788.00,$772.43
12/16/2024,$779.00,3426211,$792.00,$799.7826,$775.25
12/13/2024,$789.12,3059403,$777.13,$794.245,$772.99
12/12/2024,$782.35,2823840,$796.73,$801.8365,$778.3901
12/11/2024,$796.03,3510878,$795.25,$799.4999,$786.3701
12/10/2024,$799.58,2695247,$809.265,$813.9999,$797.00
12/09/2024,$803.58,3175956,$823.70,$823.70,$801.28
12/06/2024,$826.71,3047127,$827.68,$841.00,$825.6901
12/05/2024,$825.62,2423388,$827.78,$831.13,$817.46
12/04/2024,$829.84,3871090,$828.10,$846.4629,$820.50
12/03/2024,$813.33,2782067,$802.93,$817.13,$801.61
12/02/2024,$799.80,2895629,$798.11,$805.35,$795.2201
11/29/2024,$795.35,2206918,$791.33,$800.33,$789.331
11/27/2024,$788.19,2714656,$788.12,$794.83,$780.30
11/26/2024,$789.32,6622610,$785.20,$807.00,$773.95
11/25/2024,$755.00,5690465,$750.00,$755.00,$740.01
11/22/2024,$748.01,4015450,$757.05,$761.2799,$745.0812
11/21/2024,$749.92,4143204,$746.12,$752.9999,$735.00
11/20/2024,$753.41,5158855,$735.785,$757.37,$735.46
11/19/2024,$729.73,5832480,$716.31,$730.00,$712.42
11/18/2024,$727.20,9154351,$733.19,$734.00,$711.4001
11/15/2024,$746.20,7334562,$775.19,$777.98,$744.20
11/14/2024,$786.23,3998847,$809.19,$809.19,$783.51
11/13/2024,$811.81,3059268,$820.32,$829.105,$811.29
11/12/2024,$818.86,3378563,$830.20,$833.99,$810.7201
11/11/2024,$832.44,3342750,$831.30,$844.00,$824.625
11/08/2024,$831.54,7212870,$803.50,$847.27,$801.26
11/07/2024,$797.45,4557575,$784.65,$802.55,$778.19
11/06/2024,$776.38,8257862,$817.33,$820.73,$767.61
11/05/2024,$806.06,3733279,$803.825,$809.21,$797.49
11/04/2024,$806.14,3918122,$805.00,$820.19,$803.68
11/01/2024,$818.93,5266277,$828.00,$833.00,$816.73
10/31/2024,$829.74,6582820,$836.51,$853.50,$825.24
10/30/2024,$846.83,18257230,$798.50,$860.50,$769.00
10/29/2024,$903.58,3187510,$898.21,$907.98,$898.21
10/28/2024,$895.59,2084102,$894.87,$898.2099,$890.78
10/25/2024,$892.70,2228327,$899.73,$900.96,$889.4501
10/24/2024,$891.32,1797145,$898.33,$900.00,$888.28
10/23/2024,$903.25,2646589,$905.62,$907.9499,$891.73
10/22/2024,$909.15,1391776,$901.675,$911.12,$900.2001
10/21/2024,$906.13,1592229,$917.98,$918.86,$904.56
10/18/2024,$917.97,2286912,$917.18,$920.9199,$905.62
10/17/2024,$917.12,2191188,$921.00,$930.51,$916.04
10/16/2024,$916.42,1645364,$910.03,$917.805,$897.835
10/15/2024,$913.32,2284189,$924.44,$926.52,$907.8001
10/14/2024,$929.51,1550385,$936.00,$937.00,$926.00
10/11/2024,$932.06,2293874,$916.04,$932.24,$911.1845
10/10/2024,$910.69,1682053,$920.00,$922.00,$905.15
10/09/2024,$919.74,1820128,$916.285,$921.35,$912.00
10/08/2024,$913.72,2200027,$903.00,$921.9682,$902.225
10/07/2024,$898.40,2915667,$890.51,$905.275,$889.565
10/04/2024,$887.16,1971436,$885.91,$888.97,$876.89
10/03/2024,$885.55,1974677,$889.54,$892.00,$880.88
10/02/2024,$891.07,1751600,$880.00,$893.3499,$878.70
10/01/2024,$884.48,2455232,$888.83,$891.2699,$878.87
09/30/2024,$885.94,3246793,$864.52,$887.4299,$858.81
09/27/2024,$877.79,4377346,$893.62,$901.21,$875.61
09/26/2024,$909.32,2692979,$920.255,$921.85,$905.30
09/25/2024,$924.56,1805080,$931.79,$939.30,$921.19
09/24/2024,$924.43,2767434,$922.12,$925.68,$909.20
09/23/2024,$918.52,2291963,$921.00,$922.00,$909.45
09/20/2024,$921.49,9921754,$921.99,$939.86,$913.20
09/19/2024,$915.04,2446531,$912.85,$916.81,$903.86
09/18/2024,$904.97,1776976,$906.31,$915.50,$903.46
09/17/2024,$906.18,2248019,$921.50,$921.50,$902.30
09/16/2024,$923.54,1760296,$931.13,$932.605,$920.43
09/13/2024,$923.71,2045356,$937.01,$942.35,$922.10
09/12/2024,$935.02,2511788,$924.31,$937.62,$918.63
09/11/2024,$920.89,2721114,$902.15,$921.54,$897.2032
09/10/2024,$901.25,1930385,$914.11,$915.11,$895.0001
09/09/2024,$908.27,2405908,$912.57,$915.4299,$895.915
09/06/2024,$902.71,3439999,$917.76,$927.9022,$893.00
09/05/2024,$912.75,3201148,$941.16,$943.00,$906.17
09/04/2024,$946.31,1891673,$949.75,$954.00,$938.005
09/03/2024,$956.53,2529442,$957.77,$969.6499,$951.5801
08/30/2024,$960.02,2555073,$945.00,$961.00,$940.51
08/29/2024,$940.20,1762847,$955.00,$957.515,$936.00
08/28/2024,$948.94,1701760,$954.15,$958.3399,$943.26
08/27/2024,$954.48,2912853,$952.50,$972.48,$949.95
08/26/2024,$950.53,2166043,$949.20,$955.00,$942.77
08/23/2024,$952.74,2063309,$955.44,$960.50,$943.11
08/22/2024,$954.17,3183727,$951.98,$972.53,$948.135
08/21/2024,$951.97,2616984,$955.615,$956.50,$939.17
08/20/2024,$949.97,4961498,$932.10,$967.00,$930.51
08/19/2024,$921.81,2374554,$922.12,$926.00,$916.5001
08/16/2024,$922.12,2364894,$928.39,$936.2969,$919.39
08/15/2024,$931.58,3079984,$936.00,$937.955,$920.00
08/14/2024,$931.68,3562910,$910.00,$934.38,$903.79
08/13/2024,$908.05,3506767,$894.08,$914.6943,$890.33
08/12/2024,$884.38,4206064,$904.21,$904.72,$883.00
08/09/2024,$891.68,6587628,$860.00,$908.49,$860.00
08/08/2024,$845.31,9434851,$875.00,$877.78,$825.24
08/07/2024,$772.14,4407687,$778.30,$786.58,$763.0201
08/06/2024,$793.18,3437567,$789.14,$806.2735,$785.00
08/05/2024,$775.26,4661810,$758.00,$792.9399,$747.55
08/02/2024,$804.46,3515933,$816.67,$820.19,$787.02
08/01/2024,$832.44,4060732,$833.62,$840.89,$820.18
07/31/2024,$804.27,2961662,$800.17,$811.14,$792.0901
07/30/2024,$790.21,3848581,$815.18,$821.90,$775.81
07/29/2024,$807.79,2473684,$814.01,$824.77,$804.00
07/26/2024,$804.62,4173942,$811.87,$822.01,$801.30
07/25/2024,$821.19,5467973,$847.00,$851.62,$806.38
07/24/2024,$859.88,2726144,$872.50,$878.34,$854.27
07/23/2024,$878.29,2087749,$870.00,$887.72,$864.08
07/22/2024,$865.97,2904548,$864.80,$874.42,$856.82
07/19/2024,$857.47,3782167,$867.66,$880.21,$853.00
07/18/2024,$848.90,7649625,$907.03,$909.87,$836.66
07/17/2024,$905.59,4200582,$910.01,$925.00,$902.64
07/16/2024,$941.60,2111799,$955.75,$956.39,$938.38
07/15/2024,$950.46,2358671,$956.20,$966.10,$948.09
07/12/2024,$948.40,2315131,$937.00,$950.79,$936.03
07/11/2024,$934.14,2858281,$934.09,$942.88,$918.62
07/10/2024,$939.78,2683255,$936.57,$945.69,$933.00
07/09/2024,$932.50,2419859,$929.05,$935.00,$920.775
07/08/2024,$918.00,2364556,$917.89,$928.605,$912.00
07/05/2024,$914.57,2880863,$898.425,$916.4595,$896.90
07/03/2024,$898.10,3078367,$911.00,$918.50,$884.00
07/02/2024,$906.71,4584602,$902.71,$912.00,$878.50
07/01/2024,$914.37,2546119,$911.77,$916.83,$904.31
06/28/2024,$905.38,3375426,$911.31,$915.54,$905.38
06/27/2024,$909.04,1948132,$903.53,$909.57,$899.72
06/26/2024,$901.26,2232075,$904.00,$906.345,$897.84
06/25/2024,$904.61,2839806,$891.77,$909.42,$891.50
06/24/2024,$890.11,2878199,$889.975,$903.5786,$882.94
06/21/2024,$883.88,3448680,$885.66,$891.97,$879.80
06/20/2024,$885.99,3359987,$893.00,$905.45,$870.13
06/18/2024,$891.46,2437038,$887.00,$894.87,$884.00
06/17/2024,$885.01,2532240,$878.00,$892.20,$876.86
06/14/2024,$878.45,2023264,$882.33,$884.61,$876.00
06/13/2024,$883.33,2243419,$869.025,$885.06,$861.50
06/12/2024,$867.30,2594601,$872.00,$872.00,$853.85
06/11/2024,$865.82,4109073,$882.14,$882.14,$852.23
06/10/2024,$865.00,3444498,$853.98,$871.63,$849.39
06/07/2024,$849.99,2468834,$837.76,$856.81,$837.01
06/06/2024,$837.29,2108975,$834.88,$846.9742,$831.88
06/05/2024,$831.76,2169003,$830.49,$838.45,$817.62
06/04/2024,$832.59,1748288,$834.00,$835.47,$825.31
06/03/2024,$831.26,2537239,$823.83,$838.28,$818.50
05/31/2024,$820.34,4472119,$818.80,$826.21,$811.10
05/30/2024,$815.06,1986290,$812.79,$819.99,$806.11
05/29/2024,$811.53,2380041,$803.00,$815.61,$802.09
05/28/2024,$807.86,2483454,$809.00,$809.00,$788.25
05/24/2024,$807.43,1778120,$808.00,$810.12,$804.15
05/23/2024,$808.45,3025781,$810.00,$820.605,$802.155
05/22/2024,$802.91,1767519,$801.00,$804.88,$795.25
05/21/2024,$803.17,4334499,$792.46,$816.61,$791.39
05/20/2024,$783.18,2188818,$766.90,$784.325,$766.12
05/17/2024,$770.00,1670317,$772.89,$774.87,$767.10
05/16/2024,$771.12,2299653,$784.71,$786.48,$770.14
05/15/2024,$787.02,3038253,$764.15,$787.66,$763.10
05/14/2024,$763.98,1956229,$751.52,$764.50,$751.52
05/13/2024,$757.70,1848926,$763.50,$763.55,$750.53
05/10/2024,$760.00,2082289,$774.02,$777.42,$760.00
05/09/2024,$771.55,2522085,$777.00,$784.00,$769.20
05/08/2024,$775.00,2089934,$779.10,$781.3499,$772.20
05/07/2024,$777.77,2879447,$768.90,$779.09,$762.11
05/06/2024,$766.68,3398280,$738.04,$766.99,$736.00
05/03/2024,$734.97,4595138,$743.00,$745.00,$730.34
05/02/2024,$755.91,3205628,$777.34,$777.34,$754.29
05/01/2024,$776.75,2804838,$774.755,$782.605,$768.25
04/30/2024,$781.10,7437105,$775.00,$795.4975,$767.66
04/29/2024,$737.20,2732584,$735.75,$740.58,$729.61
04/26/2024,$733.51,2009249,$723.48,$737.45,$721.00
04/25/2024,$724.87,2608752,$725.00,$727.9915,$718.30
04/24/2024,$732.20,2133427,$752.64,$752.64,$728.785
04/23/2024,$745.69,2042029,$741.20,$746.16,$731.44
04/22/2024,$731.33,2354096,$729.74,$737.88,$725.42
04/19/2024,$726.31,3505526,$749.16,$750.01,$722.07
04/18/2024,$745.95,1717347,$749.42,$752.1988,$743.77
04/17/2024,$750.77,3069367,$759.20,$771.83,$744.8776
04/16/2024,$746.74,2569799,$751.68,$753.14,$743.00
04/15/2024,$750.77,2358569,$760.07,$768.00,$749.52
04/12/2024,$751.64,2495037,$759.57,$763.50,$749.785
04/11/2024,$759.59,1594834,$759.78,$763.33,$750.67
04/10/2024,$761.98,1700296,$751.28,$765.26,$746.83
04/09/2024,$757.24,2464837,$777.64,$777.82,$750.65
04/08/2024,$777.29,1664153,$785.02,$785.195,$773.35
04/05/2024,$784.21,2113429,$765.47,$786.705,$763.09
04/04/2024,$768.08,2353992,$781.54,$787.8969,$767.82
04/03/2024,$775.99,3044910,$765.69,$787.2475,$765.41
04/02/2024,$763.96,2596789,$755.07,$765.07,$753.50
04/01/2024,$760.55,2921338,$776.00,$777.50,$753.82
03/28/2024,$777.96,3209424,$780.32,$793.67,$776.44
