Date,Close/Last,Volume,Open,High,Low
03/12/2025,$524.64,2810986,$530.51,$532.71,$519.26
03/11/2025,$525.80,4583034,$537.20,$538.05,$522.25
03/10/2025,$537.12,3893378,$538.15,$548.56,$532.02
03/07/2025,$546.77,3161510,$547.07,$550.375,$536.28
03/06/2025,$549.82,3133333,$548.50,$555.68,$544.694
03/05/2025,$558.30,2795399,$552.58,$560.9899,$551.3201
03/04/2025,$555.07,3318100,$570.46,$573.20,$552.01
03/03/2025,$574.92,3092583,$577.33,$582.23,$570.00
02/28/2025,$576.31,3205380,$567.30,$576.43,$564.00
02/27/2025,$564.82,2436724,$565.57,$574.6999,$564.00
02/26/2025,$561.27,2027993,$562.59,$566.68,$559.6025
02/25/2025,$564.03,3609836,$562.44,$566.045,$552.69
02/24/2025,$559.00,1752627,$558.43,$561.46,$556.793
02/21/2025,$557.51,2256340,$561.43,$564.80,$556.58
02/20/2025,$563.28,2181938,$568.15,$568.50,$559.04
02/19/2025,$568.50,2459132,$567.49,$570.70,$566.645
02/18/2025,$568.61,2064246,$564.90,$568.63,$561.515
02/14/2025,$564.76,1927797,$566.01,$569.24,$564.13
02/13/2025,$566.31,1709499,$565.60,$567.39,$561.47
02/12/2025,$564.60,1722312,$562.01,$564.75,$559.44
02/11/2025,$564.70,1847808,$564.99,$566.4299,$559.2201
02/10/2025,$565.49,2357752,$565.25,$567.27,$561.00
02/07/2025,$562.75,2008409,$568.06,$570.05,$561.78
02/06/2025,$567.16,1738474,$566.13,$569.75,$564.54
02/05/2025,$566.29,2404997,$561.35,$566.87,$559.80
02/04/2025,$559.11,2639060,$570.88,$572.00,$557.58
02/03/2025,$563.95,3195610,$552.64,$565.00,$551.07
01/31/2025,$555.43,4505520,$563.82,$565.54,$554.64
01/30/2025,$566.01,6005206,$555.00,$576.94,$554.53
01/29/2025,$548.80,2549001,$547.00,$550.61,$546.50
01/28/2025,$547.36,2727798,$546.54,$551.5519,$542.66
01/27/2025,$547.64,3074807,$533.58,$547.99,$531.655
01/24/2025,$533.49,2473012,$532.99,$536.06,$532.15
01/23/2025,$534.22,2196457,$529.05,$534.35,$528.68
01/22/2025,$527.18,2037643,$528.00,$530.30,$525.67
01/21/2025,$528.06,2706947,$527.66,$529.98,$526.91
01/17/2025,$524.70,2374798,$524.58,$528.13,$521.01
01/16/2025,$523.14,3275700,$523.62,$527.12,$520.72
01/15/2025,$522.35,3025066,$515.57,$523.77,$513.73
01/14/2025,$509.02,2704795,$507.07,$509.39,$504.21
01/13/2025,$504.91,2885549,$501.00,$506.15,$499.92
01/10/2025,$504.67,2815624,$512.12,$513.76,$503.36
01/08/2025,$516.40,2456715,$512.04,$517.45,$511.5325
01/07/2025,$511.40,2211877,$513.68,$516.33,$511.075
01/06/2025,$511.93,2920787,$520.97,$521.36,$511.01
01/03/2025,$521.36,1627726,$522.53,$524.46,$517.68
01/02/2025,$522.40,2818795,$529.19,$530.56,$517.66
12/31/2024,$526.57,1942656,$527.67,$529.19,$525.56
12/30/2024,$525.55,2101731,$527.00,$528.5652,$521.33
12/27/2024,$532.20,1542157,$533.61,$537.56,$530.80
12/26/2024,$536.15,1109713,$533.63,$537.70,$532.92
12/24/2024,$535.71,955015,$529.27,$535.74,$527.83
12/23/2024,$528.96,2270286,$525.83,$529.3999,$521.13
12/20/2024,$528.03,7317151,$522.87,$532.08,$519.42
12/19/2024,$523.28,3050813,$524.16,$529.22,$522.20
12/18/2024,$519.96,3190277,$530.32,$537.13,$519.71
12/17/2024,$531.01,4056007,$529.40,$531.78,$524.87
12/16/2024,$530.31,2923016,$532.00,$535.00,$528.995
12/13/2024,$529.00,1608196,$534.17,$534.68,$528.91
12/12/2024,$532.41,1860815,$536.29,$536.75,$531.97
12/11/2024,$534.45,2181241,$529.19,$535.89,$527.2701
12/10/2024,$529.01,2003265,$522.51,$529.66,$520.2201
12/09/2024,$522.82,2942047,$529.02,$531.59,$521.875
12/06/2024,$528.57,2122791,$522.93,$531.00,$522.50
12/05/2024,$524.77,2538695,$524.60,$527.47,$522.17
12/04/2024,$521.14,2630030,$523.64,$526.275,$518.17
12/03/2024,$526.18,2319746,$534.67,$534.82,$525.96
12/02/2024,$531.36,2355191,$532.93,$534.82,$526.23
11/29/2024,$532.94,1760566,$533.01,$535.7699,$530.025
11/27/2024,$532.38,2086434,$529.05,$533.62,$526.58
11/26/2024,$528.48,2326797,$527.90,$530.6499,$525.06
11/25/2024,$526.60,4503914,$521.64,$528.25,$521.02
11/22/2024,$520.86,3130470,$516.93,$521.705,$516.18
11/21/2024,$515.10,3077464,$513.23,$520.12,$511.58
11/20/2024,$512.54,2409527,$521.53,$522.50,$511.00
11/19/2024,$519.46,2716216,$518.78,$522.65,$516.756
11/18/2024,$521.63,2493483,$518.59,$523.49,$517.00
11/15/2024,$521.89,2408193,$518.525,$523.39,$518.00
11/14/2024,$520.40,2480583,$520.62,$522.36,$517.65
11/13/2024,$521.88,2681881,$530.01,$530.50,$516.415
11/12/2024,$529.17,2577628,$529.10,$530.90,$527.30
11/11/2024,$530.12,2213822,$528.85,$534.025,$528.515
11/08/2024,$524.76,2215681,$520.34,$528.84,$519.53
11/07/2024,$517.88,2382508,$523.99,$524.03,$516.5901
11/06/2024,$521.13,3674066,$520.86,$523.00,$515.94
11/05/2024,$505.56,2132859,$505.58,$508.15,$503.61
11/04/2024,$505.58,2165122,$509.14,$510.00,$503.03
11/01/2024,$508.08,3753713,$500.44,$510.55,$498.53
10/31/2024,$499.59,5523340,$521.25,$527.8999,$499.03
10/30/2024,$513.69,3120968,$512.52,$516.45,$507.00
10/29/2024,$506.28,2066616,$507.54,$511.39,$505.70
10/28/2024,$508.21,2186574,$507.40,$510.8599,$506.14
10/25/2024,$507.36,1582222,$512.50,$514.73,$505.62
10/24/2024,$510.62,1912122,$511.90,$513.34,$509.46
10/23/2024,$513.73,1759887,$512.66,$514.7199,$511.90
10/22/2024,$513.02,1855981,$511.15,$514.55,$510.50
10/21/2024,$515.01,2217572,$516.99,$518.82,$513.9401
10/18/2024,$516.34,2604684,$514.54,$518.00,$512.58
10/17/2024,$513.76,2227465,$516.29,$517.045,$511.52
10/16/2024,$514.07,2956878,$506.35,$515.4025,$506.00
10/15/2024,$507.23,2885897,$505.62,$509.88,$504.00
10/14/2024,$506.66,2127041,$504.36,$508.79,$502.05
10/11/2024,$502.26,1920085,$496.51,$502.92,$496.465
10/10/2024,$498.02,1491085,$500.00,$500.7234,$495.84
10/09/2024,$499.95,1707580,$498.38,$500.7499,$495.59
10/08/2024,$497.06,1750066,$492.50,$497.53,$491.53
10/07/2024,$491.30,1990708,$497.33,$498.53,$490.75
10/04/2024,$497.70,1935893,$495.56,$499.05,$492.47
10/03/2024,$494.97,1382289,$495.55,$497.0875,$493.00
10/02/2024,$495.57,1736490,$492.94,$495.91,$489.68
10/01/2024,$496.38,3748206,$497.26,$498.03,$493.11
09/30/2024,$493.80,2862475,$491.78,$494.99,$490.11
09/27/2024,$493.64,2177336,$491.03,$496.00,$490.39
09/26/2024,$491.27,3073747,$491.00,$493.625,$489.00
09/25/2024,$489.45,3483193,$484.76,$489.90,$483.54
09/24/2024,$487.41,4143654,$492.68,$493.245,$484.42
09/23/2024,$497.14,2191256,$493.16,$497.69,$491.30
09/20/2024,$492.74,3470313,$489.65,$493.53,$487.74
09/19/2024,$493.01,3517228,$500.00,$501.13,$486.25
09/18/2024,$494.76,2193838,$501.28,$501.80,$494.04
09/17/2024,$500.99,2202852,$498.60,$501.74,$497.85
09/16/2024,$497.71,1589320,$495.30,$498.32,$493.39
09/13/2024,$493.36,2204789,$493.10,$496.85,$491.45
09/12/2024,$492.11,2299485,$486.95,$492.88,$483.00
09/11/2024,$488.18,2479988,$486.52,$489.11,$477.84
09/10/2024,$488.02,2234088,$487.10,$488.33,$482.33
09/09/2024,$487.09,2343553,$480.50,$489.21,$479.565
09/06/2024,$476.12,2116234,$477.11,$480.44,$474.71
09/05/2024,$477.36,2293539,$483.14,$484.16,$473.1101
09/04/2024,$483.14,2156342,$482.09,$486.17,$481.18
09/03/2024,$482.12,2063707,$482.47,$486.69,$480.04
08/30/2024,$483.34,2982115,$481.84,$485.74,$479.65
08/29/2024,$480.80,1893601,$474.47,$481.92,$474.47
08/28/2024,$471.80,1445425,$475.00,$476.41,$468.865
08/27/2024,$474.99,1635908,$471.08,$475.50,$468.22
08/26/2024,$468.64,1434397,$468.10,$470.53,$467.00
08/23/2024,$466.44,1986348,$470.30,$470.34,$461.90
08/22/2024,$468.82,1538288,$469.49,$470.91,$466.70
08/21/2024,$468.00,2105889,$468.54,$469.09,$464.52
08/20/2024,$469.12,1763383,$468.13,$469.67,$465.51
08/19/2024,$466.98,1690880,$469.00,$470.15,$465.52
08/16/2024,$468.88,1922047,$468.00,$470.26,$466.04
08/15/2024,$468.71,2130571,$465.10,$469.00,$464.00
08/14/2024,$460.16,1654140,$459.26,$460.54,$456.07
08/13/2024,$459.36,1816206,$458.14,$459.64,$454.89
08/12/2024,$455.69,1760046,$457.77,$458.46,$453.89
08/09/2024,$456.78,1760295,$455.58,$458.80,$453.46
08/08/2024,$455.58,1585584,$452.24,$456.27,$451.03
08/07/2024,$449.84,2059829,$450.53,$456.92,$449.04
08/06/2024,$448.30,2759051,$443.22,$455.45,$442.11
08/05/2024,$442.00,4496726,$455.00,$461.295,$439.5901
08/02/2024,$462.02,3808080,$460.22,$466.75,$458.61
08/01/2024,$462.41,2590132,$465.46,$467.50,$459.19
07/31/2024,$463.71,4313637,$462.00,$474.00,$457.54
07/30/2024,$447.45,2266899,$443.77,$448.73,$443.01
07/29/2024,$441.30,2248633,$438.80,$442.92,$435.42
07/26/2024,$438.18,2039595,$432.28,$440.7825,$432.11
07/25/2024,$429.60,2384325,$433.94,$437.7022,$429.56
07/24/2024,$432.45,3764823,$434.00,$435.86,$428.86
07/23/2024,$441.72,2385481,$448.05,$448.74,$441.11
07/22/2024,$447.94,2111943,$445.41,$448.85,$443.25
07/19/2024,$443.69,2121736,$451.22,$451.24,$443.57
07/18/2024,$448.72,3339984,$448.75,$455.43,$447.48
07/17/2024,$451.16,2924993,$442.40,$451.52,$442.06
07/16/2024,$443.53,2846645,$446.94,$447.1584,$439.70
07/15/2024,$444.00,1727716,$440.33,$444.40,$438.74
07/12/2024,$440.11,2645729,$437.40,$442.23,$437.32
07/11/2024,$436.42,4032726,$432.00,$437.77,$430.1101
07/10/2024,$433.64,4760902,$434.61,$437.41,$429.05
07/09/2024,$444.70,1608726,$446.65,$447.58,$442.79
07/08/2024,$446.24,1802729,$449.28,$450.61,$445.00
07/05/2024,$449.49,2220706,$447.11,$449.95,$444.275
07/03/2024,$448.18,3192350,$445.32,$449.285,$444.275
07/02/2024,$444.65,2061407,$435.00,$444.76,$435.00
