Date,Close/Last,Volume,Open,High,Low
03/12/2025,$66.33,5461727,$66.38,$66.53,$65.37
03/11/2025,$67.00,6675384,$66.52,$67.765,$66.08
03/10/2025,$65.45,9445711,$66.30,$66.45,$64.94
03/07/2025,$68.22,4737585,$68.15,$68.87,$67.62
03/06/2025,$68.95,5461935,$69.35,$69.99,$68.74
03/05/2025,$67.545,7491641,$65.35,$67.70,$64.985
03/04/2025,$63.40,4619784,$62.56,$64.07,$62.29
03/03/2025,$61.08,3123977,$62.34,$62.55,$60.96
02/28/2025,$61.61,3025722,$61.32,$61.9375,$61.08
02/27/2025,$63.27,2783220,$63.47,$64.00,$63.02
02/26/2025,$63.94,4780926,$64.30,$64.39,$63.71
02/25/2025,$62.37,3388853,$62.25,$62.67,$61.946
02/24/2025,$61.64,9964604,$63.75,$63.75,$61.34
02/21/2025,$66.71,6712417,$66.56,$67.60,$66.20
02/20/2025,$65.20,7830091,$64.60,$66.27,$64.54
02/19/2025,$63.2704,4947461,$63.85,$63.85,$63.25
02/18/2025,$64.45,8847846,$64.89,$64.90,$63.90
02/14/2025,$61.53,9022192,$61.10,$61.75,$60.40
02/13/2025,$57.78,5410364,$56.87,$57.81,$56.51
02/12/2025,$57.47,3350104,$56.40,$57.74,$56.37
02/11/2025,$55.33,4269928,$55.20,$55.76,$54.85
02/10/2025,$56.50,4765043,$56.00,$56.50,$55.935
02/07/2025,$54.96,4292136,$54.87,$55.71,$54.86
02/06/2025,$54.00,3392213,$54.01,$54.20,$53.90
02/05/2025,$53.63,1788030,$53.72,$53.95,$53.57
02/04/2025,$54.45,4018377,$53.80,$54.80,$53.80
02/03/2025,$52.43,2966432,$51.80,$52.98,$51.61
01/31/2025,$53.02,4563066,$54.44,$54.44,$52.89
01/30/2025,$54.43,4768431,$52.50,$54.50,$52.40
01/29/2025,$52.64,5552966,$52.62,$53.15,$52.20
01/28/2025,$52.60,3467766,$51.55,$52.60,$51.28
01/27/2025,$51.11,4918646,$50.78,$51.43,$50.77
01/24/2025,$50.35,3592841,$49.96,$50.95,$49.95
01/23/2025,$49.24,3180970,$48.80,$49.27,$48.70
01/22/2025,$49.25,1505667,$49.07,$49.34,$48.9575
01/21/2025,$49.23,2430022,$49.63,$49.72,$49.06
01/17/2025,$49.34,4331619,$48.70,$49.84,$48.60
01/16/2025,$48.77,3631756,$49.00,$49.00,$48.55
01/15/2025,$48.85,3439245,$48.86,$48.90,$48.63
01/14/2025,$47.69,3595214,$48.10,$48.14,$47.65
01/13/2025,$46.95,2698614,$46.89,$47.12,$46.76
01/10/2025,$46.84,3575342,$47.28,$47.40,$46.82
01/08/2025,$47.67,3195194,$47.43,$47.75,$47.11
01/07/2025,$48.11,9127370,$49.20,$49.24,$47.91
01/06/2025,$49.01,23441410,$53.13,$53.25,$47.94
01/03/2025,$53.17,1647639,$53.21,$53.40,$52.94
01/02/2025,$53.21,2105994,$53.00,$53.55,$53.00
12/31/2024,$53.18,1196656,$53.12,$53.35,$53.04
12/30/2024,$53.23,2181997,$53.75,$53.75,$53.15
12/27/2024,$53.60,1366335,$53.80,$53.88,$53.38
12/26/2024,$54.11,725052,$54.23,$54.44,$53.85
12/24/2024,$53.97,545319,$54.10,$54.10,$53.95
12/23/2024,$54.17,2308236,$53.77,$54.28,$53.65
12/20/2024,$54.68,4376941,$54.61,$54.98,$54.45
12/19/2024,$53.08,2931804,$53.32,$53.39,$53.03
12/18/2024,$51.52,1915215,$52.34,$52.35,$51.35
12/17/2024,$52.27,1376441,$51.82,$52.30,$51.73
