Date,Close/Last,Volume,Open,High,Low
03/12/2025,$332.84,6295394,$335.97,$336.16,$329.11
03/11/2025,$332.14,9776072,$338.41,$339.61,$329.575
03/10/2025,$341.48,8204296,$339.94,$345.01,$337.6411
03/07/2025,$345.32,6358901,$340.87,$346.39,$339.14
03/06/2025,$344.16,8611119,$345.96,$348.87,$340.3878
03/05/2025,$352.68,8244242,$350.83,$354.1065,$348.935
03/04/2025,$352.23,8955804,$360.11,$360.27,$350.40
03/03/2025,$361.82,9099607,$363.00,$366.54,$359.5401
02/28/2025,$362.71,15857340,$354.71,$364.00,$353.7109
02/27/2025,$355.74,7298114,$351.90,$360.31,$351.675
02/26/2025,$350.63,5960603,$350.00,$351.83,$348.99
02/25/2025,$352.09,6191949,$351.37,$352.5867,$346.00
02/24/2025,$349.86,5055927,$348.755,$350.80,$347.355
02/21/2025,$348.53,6924127,$350.49,$353.32,$347.48
02/20/2025,$350.49,5697023,$355.23,$356.13,$349.06
02/19/2025,$355.23,4152269,$356.015,$357.15,$354.18
02/18/2025,$356.73,5822034,$353.69,$356.74,$352.40
02/14/2025,$353.81,5720285,$354.43,$355.4299,$353.22
02/13/2025,$355.63,4279581,$353.12,$356.08,$350.73
02/12/2025,$351.49,6760066,$349.16,$351.83,$347.49
02/11/2025,$350.72,5154783,$348.30,$352.12,$346.25
02/10/2025,$351.23,6067002,$348.70,$351.90,$347.70
02/07/2025,$348.02,4261612,$348.00,$350.7485,$347.21
02/06/2025,$347.48,4294541,$349.78,$350.65,$346.6001
02/05/2025,$349.44,4939090,$346.00,$349.4768,$345.25
02/04/2025,$345.15,5532573,$344.60,$346.01,$342.54
02/03/2025,$345.82,8004548,$340.00,$346.00,$339.24
01/31/2025,$341.80,8628071,$346.47,$351.2499,$341.71
01/30/2025,$343.05,8081262,$339.51,$344.44,$339.00
01/29/2025,$335.88,5087286,$334.50,$337.11,$334.50
01/28/2025,$334.48,5999623,$334.67,$337.83,$332.89
01/27/2025,$334.54,6636541,$330.00,$335.49,$328.05
01/24/2025,$330.20,4327755,$328.02,$331.085,$327.805
01/23/2025,$328.21,5297085,$323.76,$328.51,$323.57
01/22/2025,$323.56,5026478,$324.77,$325.74,$322.38
01/21/2025,$323.63,5653341,$320.31,$324.58,$320.00
01/17/2025,$319.62,5805810,$317.50,$320.59,$316.71
01/16/2025,$317.25,4606670,$315.75,$319.18,$315.75
01/15/2025,$316.28,5222278,$313.68,$317.1876,$313.13
01/14/2025,$309.09,5107901,$308.75,$310.16,$307.52
01/13/2025,$306.92,9568727,$305.00,$306.92,$303.84
01/10/2025,$307.71,6660255,$311.20,$311.85,$305.99
01/08/2025,$312.60,5161601,$311.00,$314.04,$310.2146
01/07/2025,$311.67,4958641,$312.89,$315.19,$311.32
01/06/2025,$313.04,6567336,$315.01,$315.39,$312.07
01/03/2025,$314.91,4271845,$314.18,$315.92,$312.01
01/02/2025,$314.40,5373059,$317.78,$319.68,$312.41
12/31/2024,$316.04,3963824,$316.12,$317.66,$315.1901
12/30/2024,$315.31,3478763,$314.68,$317.11,$313.23
12/27/2024,$318.66,3489200,$319.27,$321.50,$317.56
12/26/2024,$320.91,2856059,$319.77,$321.45,$319.46
12/24/2024,$320.65,2684103,$318.17,$321.54,$317.28
12/23/2024,$317.22,7984610,$315.65,$317.97,$313.35
12/20/2024,$317.71,24387020,$313.57,$320.00,$312.28
12/19/2024,$314.88,8317119,$311.83,$316.87,$311.23
12/18/2024,$309.78,10479180,$318.50,$321.615,$309.56
12/17/2024,$318.30,8844349,$315.82,$318.84,$315.14
12/16/2024,$315.89,6562510,$314.74,$317.56,$314.10
12/13/2024,$314.74,4682543,$315.83,$316.95,$314.34
12/12/2024,$314.23,3218540,$314.82,$315.55,$313.43
12/11/2024,$313.79,4321824,$313.04,$315.55,$311.215
12/10/2024,$312.38,4539827,$307.36,$312.98,$306.64
12/09/2024,$308.30,5785297,$311.83,$313.01,$307.64
12/06/2024,$311.01,4302851,$308.87,$312.56,$308.80
12/05/2024,$309.08,5200052,$309.98,$311.09,$308.83
